,Initial_Fitness
2189,-1.700557930776724e-06
2190,-1.6526828556768378e-06
2191,-6.149841189433207e-06
2192,-3.0972471265364393e-06
2193,-2.2451089437198974e-06
2194,-6.723931466229701e-07
2195,-1.0880092086513664e-06
2196,-1.0880092086513664e-06
2197,1.5638708202551822e-06
2198,-1.6354705089587685e-06
2199,5.668651878793903e-07
2200,-4.941020702473969e-08
2201,-1.0880092086513664e-06
2202,-1.2411463891827057e-06
2203,-5.860282751692453e-06
2204,-1.0880092086513664e-06
2205,-2.4947067830389065e-06
2206,7.199317838596309e-07
2207,8.248246406081323e-06
2208,-2.8701164259288786e-07
2209,1.8542444181983196e-07
2210,-6.555131242353835e-06
2211,-2.6491567723809356e-06
2212,-1.0880092086513664e-06
2213,-6.581145035715688e-06
2214,-1.9384440360877213e-06
2215,-7.913172648502494e-06
2216,-2.33858873059224e-06
2217,3.4596474862878125e-06
2218,-2.402729149259445e-07
2219,-1.7961669118743004e-06
2220,-1.1961816014470478e-06
2221,-1.0880092086513664e-06
2222,-2.122208652725329e-06
2223,-6.750713469826101e-06
2224,-6.016471388690217e-06
2225,-6.9529326574413695e-06
2226,1.527636894612209e-06
2227,-7.6484563644151e-06
2228,-1.0880092086513664e-06
2229,-1.6097766776153142e-06
2230,-1.2518299841228771e-06
2231,-3.8570418699135825e-06
2232,-1.0880092086513664e-06
2233,-7.855218610223685e-06
2234,3.969062071994787e-07
2235,-7.851527229720461e-06
2236,-5.219341664512707e-06
2237,-1.0880092086513664e-06
2238,1.1345911133540398e-05
2239,-1.0880092086513664e-06
2240,-7.689659187096437e-06
2241,-5.164262621322577e-06
2242,2.34701844709725e-06
2243,-4.0952138701795935e-07
2244,-7.27436897537551e-07
2245,-2.2686029962870197e-06
2246,-3.5146394600345778e-06
2247,-5.319599580630248e-06
2248,-3.314158920075046e-06
2249,1.445392496184406e-07
2250,-1.414406203796343e-06
2251,-1.1891188024590002e-06
2252,-5.262141965747583e-06
2253,-1.361824492029829e-07
2254,-6.587497326115839e-06
2255,-3.3296326191373787e-06
2256,-4.8374750796081025e-06
2257,-1.469344077884277e-06
2258,-4.306339156053128e-06
2259,-6.337438355676235e-06
2260,-3.1492747132601456e-06
2261,4.392845544919244e-06
2262,-1.0880092086513664e-06
2263,-5.905176954877013e-06
2264,-3.99463476683149e-06
2265,1.6482644907408918e-06
2266,6.3888801270694156e-06
2267,-2.941058489538675e-06
2268,-5.155567051505441e-06
2269,-6.929403312598698e-06
2270,-1.194478246066861e-06
2271,1.4898407826912463e-06
2272,-3.0456100863822313e-06
2273,-2.5025153828904005e-06
2274,-1.5729734124866417e-06
2275,-1.0880092086513664e-06
2276,-5.1186226172745714e-06
2277,-6.099020534693543e-06
2278,-3.3613964026765896e-06
2279,-1.0880092086513664e-06
2280,-1.0880092086513664e-06
2281,3.231452129124697e-06
2282,-4.0788861618887103e-07
2283,5.150846470845289e-07
2284,-1.0880092086513664e-06
2285,-1.0880092086513664e-06
2286,-1.0880092086513664e-06
2287,-3.0308116036322446e-06
2288,-3.7259094717609294e-06
2289,-3.1415743217737553e-06
2290,1.0010121555699269e-05
2291,2.907716043876648e-06
2292,-7.909268408019683e-07
2293,1.0175458673807231e-06
2294,3.9476654781279696e-06
2295,-9.977596711616509e-07
2296,1.4604627518208951e-05
2297,-2.8294088014315214e-06
2298,8.600231355743109e-06
2299,-6.08507372963365e-06
2300,6.950520063922642e-07
2301,-4.665884553311265e-07
2302,-6.785813379574589e-06
2303,7.577743645677157e-06
2304,-1.708898246299912e-06
2305,-2.6319444256628662e-06
2306,6.179918102484499e-06
2307,-6.838907954392301e-07
2308,3.995671170964057e-07
2309,4.360585337983889e-06
2310,-1.6182581622406987e-06
2311,9.179312938949066e-06
2312,-5.8285189681532405e-06
2313,-1.955089374858546e-06
2314,-3.4521423635624506e-06
2315,-9.885181462413849e-06
2316,3.196729927009375e-08
2317,-2.2685782553774565e-07
2318,-2.696570716360226e-06
2319,2.272063815753666e-06
2320,1.4685465089004555e-06
2321,2.5706730776055048e-06
2322,-7.152640324089434e-07
2323,-1.0572406034429008e-06
2324,-1.7034682181409526e-06
2325,-3.199563652328115e-06
2326,5.033643131458336e-06
2327,1.187965979181231e-06
2328,-4.4769733530453864e-06
2329,1.999090142974983e-05
2330,3.247172874115874e-06
2331,-3.0765574845068974e-06
2332,1.3954387335777116e-06
2333,-1.222265979359999e-06
2334,-4.755245895623176e-06
2335,-1.6352940475810213e-06
2336,-3.000751175473221e-06
2337,-1.4072728202571973e-06
2338,6.0330273355266625e-06
2339,-1.0880092086513664e-06
2340,-1.1492640808639021e-06
2341,-1.0093302360674653e-06
2342,-1.0880092086513664e-06
2343,2.431021571013462e-06
2344,-4.201041758346126e-06
2345,-2.2630317990258633e-06
2346,4.30259600742953e-06
2347,-4.689377380666225e-06
2348,-1.0880092086513664e-06
2349,-9.054868162733499e-07
2350,-4.703504203854481e-07
2351,-4.628618931849835e-06
2352,-1.0880092086513664e-06
2353,-3.03389835237422e-06
2354,-1.7558863514341558e-06
2355,-1.1492640808639021e-06
2356,-9.788792613389442e-07
2357,2.3660035085344391e-07
2358,6.868555471847927e-06
2359,3.0682359854144343e-06
2360,-2.7363901456797748e-06
2361,3.27662867051365e-06
2362,-1.1115032612184883e-06
2363,-1.161011107147463e-06
2364,-2.2117841991148597e-07
2365,-5.592265633671333e-06
2366,-2.4796589228216203e-06
2367,-1.2478539338768051e-06
2368,-1.0880092086513664e-06
2369,7.414527501966894e-06
2370,4.697842389446783e-06
2371,1.7953328254027675e-07
2372,1.3025259546526136e-06
2373,-1.1638861022361422e-06
2374,5.698460597947169e-07
2375,-4.600511236538297e-06
2376,-6.003056299302019e-06
2377,-1.0880092086513664e-06
2378,-5.685639543717029e-06
2379,4.834654193225697e-06
2380,-1.0880092086513664e-06
2381,-2.3063638159324335e-06
2382,-1.6816422286784679e-06
2383,-2.0881039213075887e-06
2384,-1.3376070479703753e-06
