,Initial_Fitness
343,3.0752098223853145e-06
344,2.322688767144094e-06
345,2.813793940431767e-06
346,3.4332036772873645e-06
347,3.0535077602704105e-06
348,1.1194280397453803e-05
349,2.5476875759654262e-06
350,2.8560220118360823e-06
351,3.173204923385764e-06
352,-2.085154267357329e-06
353,2.9233091163701636e-06
354,3.1570499030012094e-06
355,2.1172574867883634e-06
356,3.1803494331557955e-06
357,1.6873021645644667e-05
358,3.1803494331557955e-06
359,8.012276797353468e-07
360,3.1803494331557955e-06
361,2.453637472392585e-06
362,5.149043769868151e-06
363,2.704440799428868e-06
364,2.6954302888143445e-06
365,3.1803494331557955e-06
366,5.802402823809548e-06
367,3.1803494331557955e-06
368,1.003400352476341e-05
369,2.4423349694563212e-06
370,3.5214800146020547e-06
371,3.747265494876105e-06
372,3.1803494331557955e-06
373,6.805199293003551e-06
374,1.3702873614741553e-05
375,7.366411476230547e-06
376,4.50950593571256e-06
377,5.440253280142172e-07
378,2.4083163865151585e-06
379,1.4743092022431644e-05
380,1.6503129791358932e-06
381,2.2729966923618105e-06
382,1.1869170326048488e-05
383,-2.6567150489598385e-06
384,1.5656902251287042e-06
385,2.4155673941545017e-06
386,3.317377669481197e-06
387,3.588215702827866e-06
388,5.362809341608584e-06
389,2.430444440107311e-06
390,3.2435340815898303e-06
391,3.1803494331557955e-06
392,2.066436241960334e-05
393,2.2452196754330558e-06
394,2.562189591244113e-06
395,3.891753158316419e-06
396,5.0441681156394205e-06
397,3.271950085734458e-06
398,1.2727653245574177e-06
399,1.4700936143193075e-06
400,2.3087192412119677e-06
401,1.8516189004987056e-05
402,3.6012410986348336e-06
403,-1.0777783897829049e-06
404,4.834393303957194e-06
405,3.1474004051708133e-06
406,-8.679205834561323e-07
407,5.943811201565924e-06
408,3.205195470546937e-06
409,6.741908146700204e-06
410,2.3419413782648193e-06
411,3.1803494331557955e-06
412,3.0803262963753564e-06
413,2.350947312616283e-06
414,1.453163217180213e-05
415,2.2444186532816853e-06
416,2.4639259574388536e-06
417,2.4444649268425637e-06
418,2.1149654944666233e-06
419,2.145784565065363e-06
420,-1.9031931441871753e-05
421,2.8945690423545404e-06
422,2.73738982741385e-06
423,3.1981574586462177e-06
424,2.810010977939657e-06
425,1.4439186416932937e-06
426,3.173204923385764e-06
427,2.3748290228459586e-05
428,6.654819941047508e-07
429,2.8971387200072104e-06
430,2.318743769716486e-06
431,2.930291591204697e-06
432,6.08850270821874e-06
433,1.1513086584668847e-06
434,1.1673332384547498e-05
435,2.2839287408870116e-06
436,1.9453632608303622e-06
437,2.1032370000531115e-06
438,1.925212282215073e-06
439,3.1803494331557955e-06
440,1.408511010188014e-06
441,3.1803494331557955e-06
442,7.004995338811859e-06
443,1.02270748260632e-06
444,2.4944764952327833e-06
445,2.53019904408294e-06
446,3.6541258376343285e-07
447,3.1803494331557955e-06
448,3.1803494331557955e-06
449,-9.536877957500054e-06
450,1.8514706159299594e-06
451,2.3937078733671593e-06
452,2.0015053211006186e-06
453,2.487331985462752e-06
454,2.9604161375213785e-06
455,3.0946153159154187e-06
456,3.0159192105757616e-06
457,2.501621005002815e-06
458,2.1041954808769203e-06
459,3.1446268843056383e-06
460,1.2518179000538177e-06
461,3.1803494331557955e-06
462,4.991864554927461e-06
463,4.239982486902113e-06
464,3.1803494331557955e-06
465,-8.848766259920573e-07
466,4.696814273232992e-06
467,3.0296247799661376e-06
468,2.992726178290488e-06
469,2.955299663531337e-06
470,1.0624002166546096e-05
471,3.1803494331557955e-06
472,2.7097748454205934e-06
473,4.93166352932561e-07
474,2.357985324517002e-06
475,2.9039545836431857e-06
476,2.1491415360802244e-06
477,2.4173268971296814e-06
478,3.2062094884369322e-06
479,2.393494877628535e-06
480,6.421539451597277e-06
481,3.118138594399881e-05
482,2.2573232005206905e-06
483,2.3600643211001186e-06
484,3.1803494331557955e-06
485,2.908858061894603e-06
486,4.589155945612968e-06
487,3.1570499030012094e-06
488,1.1888154404364403e-05
489,1.844867748032607e-06
490,1.7468634945060392e-06
491,8.610153355154873e-06
