,Initial_Fitness
236,2.319359181667788e-08
237,-1.0118677024942688e-07
238,-4.037316450170463e-07
239,3.1265706866971352e-06
240,1.6879885890899833e-06
241,-1.8699476800886361e-06
242,-2.7948713282291463e-08
243,-2.281035739509815e-06
244,5.284286584016532e-07
245,-1.1575720635542178e-06
246,1.1001379343673878e-08
247,-4.110814109686739e-06
248,-4.4515409298925736e-07
249,-1.244909597593239e-06
250,3.253287480169484e-07
251,3.09796216212207e-06
252,2.992066227302811e-07
253,2.029073837916219e-06
254,-5.179824313890436e-07
255,4.983507497473879e-07
256,4.060157946096466e-06
257,3.225168051993019e-06
258,1.3381299823633118e-06
259,-2.5657742218593956e-07
260,1.0176005853431664e-06
261,2.319359181667788e-08
262,-5.694360731254476e-06
263,2.167723093176377e-06
264,4.216339799147315e-06
265,-1.3118466520061837e-06
266,4.3019873171060514e-07
267,-9.334925388539192e-07
268,3.4892149067325633e-06
269,7.398497059528486e-07
270,-1.6345094239921845e-06
271,1.8381095938957678e-06
272,3.3935748690187513e-07
273,8.717177981766206e-07
274,-2.4400571643076603e-06
275,-1.5664985860572072e-06
276,2.3124615808380166e-06
277,-1.999611733227621e-06
278,-1.0427986145334252e-06
279,-1.3013497858432982e-06
280,2.319359181667788e-08
281,-4.807790503396322e-06
282,-1.6907039795672287e-07
283,2.063799756845099e-06
284,1.2840262995875248e-07
285,8.2821866948336e-07
286,2.654696311262937e-07
287,2.319359181667788e-08
288,-6.32515800168737e-07
289,3.1074700268920377e-06
290,-4.84553975040863e-06
291,2.319359181667788e-08
292,2.319359181667788e-08
293,-1.5913209655909252e-06
294,-8.082220755341865e-07
295,1.0933020617401444e-07
296,-3.58395841775807e-07
297,4.037878586027923e-06
298,1.5359229996124903e-07
299,6.582058037581397e-07
300,1.3258247517408355e-06
301,1.67805681367446e-06
302,2.69348584961511e-06
303,-4.448009205306582e-07
304,-3.8858676857954464e-07
305,1.3476010455366523e-07
306,-6.50198513977641e-08
307,9.907296870407327e-07
308,-6.5014343276898734e-06
309,7.081896172739933e-07
310,-2.666058145685048e-06
311,-1.6294658131604014e-06
312,1.9223531357324298e-06
313,8.030289254128354e-07
314,-2.2970652388350555e-07
315,2.319359181667788e-08
316,2.319359181667788e-08
317,-2.1456781285945434e-06
318,2.319359181667788e-08
319,1.7441038409018043e-06
320,-1.7830905287358934e-06
321,2.319359181667788e-08
322,8.664482251139198e-07
323,-4.020363727749568e-07
324,-1.8999972786545122e-06
325,-1.9501365384184075e-06
326,-2.0216792490754267e-06
327,3.8200909057613233e-07
328,8.987159067067353e-07
329,-6.988877638343192e-07
330,1.2387981101978978e-06
331,-1.7148628126224605e-07
332,-2.360376924684528e-06
333,2.319359181667788e-08
334,3.040100051849102e-07
335,7.776414551317542e-07
336,3.390603497494527e-06
337,-2.657821790647671e-06
338,-1.1412775573819762e-07
339,2.319359181667788e-08
340,2.319359181667788e-08
341,1.0791126204453693e-06
342,2.302981878020384e-06
343,-1.364777799256704e-07
344,-1.1254032821006943e-06
345,9.393754636529983e-07
346,-7.585915085449593e-07
347,3.8660062881002516e-07
348,6.555921942420604e-07
349,-7.833432239597457e-07
350,2.641905589928431e-06
351,2.319359181667788e-08
352,-2.7327268097685065e-06
353,7.181920568084478e-07
354,1.4024707427101884e-08
355,4.1060357120904585e-07
356,2.319359181667788e-08
357,3.0940204967646524e-06
358,2.319359181667788e-08
359,-2.514349852828928e-07
360,2.319359181667788e-08
361,-1.7365679238231498e-06
362,3.7134075236503622e-06
363,1.8409493137788204e-06
364,1.0929153970993792e-06
365,2.319359181667788e-08
366,2.2284633754042567e-07
367,2.319359181667788e-08
368,2.664905486992379e-06
369,3.2393381191158076e-06
370,4.989492586088878e-08
371,-7.684385018313704e-07
372,2.319359181667788e-08
373,1.6629401732573196e-06
374,1.9248113730684956e-06
375,2.2271725655677123e-06
376,5.879487208438905e-07
377,4.6029075837505126e-07
378,-1.8923966044154005e-06
379,8.498340386652465e-07
380,1.5143731124557625e-06
381,-1.4750075424400312e-06
382,2.3988436056662845e-07
383,-1.0830713587028692e-07
384,-2.6488451541027623e-07
385,-1.4391655600266048e-06
386,1.521143503057853e-08
387,-1.3785576701201838e-06
388,3.351653404868563e-06
389,8.802368837577492e-07
390,3.576170958224598e-06
391,2.319359181667788e-08
392,1.4611964806662863e-06
393,5.364390512081151e-07
394,2.0956629760323715e-07
395,3.1969173634941377e-07
396,6.553661579431153e-07
397,1.6595636727152934e-06
398,-1.1664018934953762e-06
399,-2.848856624719025e-06
400,-1.5553518470178462e-06
401,-1.1199923808001316e-06
402,3.1092078013007234e-06
403,9.630969471793363e-09
404,1.545990995240132e-06
405,6.65848906095821e-07
406,-3.476536552750862e-06
407,1.285165194794572e-06
408,1.2116924618841987e-07
409,1.2886265515337374e-06
410,3.096789552528774e-06
411,2.319359181667788e-08
412,-1.491113110182064e-06
413,-9.92546336620058e-07
414,1.2249953335438886e-06
415,-2.4554422691223147e-06
416,-2.228438242409853e-06
417,-2.4623648344645913e-06
418,-1.949373647392461e-06
419,-3.3577507742537226e-06
420,-9.462780780946473e-07
421,-2.2421084045383215e-07
422,-3.5905329927355257e-06
423,2.319359181667788e-08
