1255,1070,524,1380,977,1255,1309,1171,2359
1283,635,619,794,141,309,274,236,171
201,305,184,319,237,320,313,250,471
798,639,504,699,239,341,428,300,243
507,471,331,545,151,307,335,196,199
712,919,1435,1934,780,1339,1484,1029,1152
780,923,587,982,792,534,551,309,615
710,703,608,1213,770,870,732,624,865
92,53,36,21,7,20,16,22,4
1033,1174,962,1781,871,793,939,565,772
192,54,34,33,0,7,7,3,1
0,0,1,2,0,1,0,1,0
0,0,0,0,0,0,0,0,0
323,476,449,620,607,510,682,584,717
788,965,808,721,229,160,199,78,55
632,274,149,155,72,71,58,31,27
1139,1193,1015,1720,731,876,1085,883,757
911,823,674,1492,633,988,1364,958,1307
515,253,405,823,21,535,289,371,60
448,837,1131,1982,299,1648,1174,1130,386
0,0,0,1,0,0,0,0,0
642,1785,1832,2610,456,1072,1394,833,470
391,445,382,792,383,419,434,301,348
1088,1076,893,1289,830,780,1045,702,958
0,0,3,6,0,1,2,5,0
381,314,211,313,164,74,108,91,96
0,0,0,0,0,0,0,0,0
1547,1898,1959,2143,1581,1921,2000,1590,2266
506,900,1026,1413,442,895,1368,1129,641
616,402,328,573,17,286,229,222,61
585,424,403,763,71,486,398,297,93
1358,1019,1235,1684,509,913,703,661,468
706,303,436,584,8,263,183,136,14
889,550,724,966,75,554,397,437,116
0,0,0,0,0,0,0,0,0
489,209,510,584,28,274,173,161,47
248,136,111,182,24,53,57,35,31
1017,1483,862,924,642,274,352,207,352
774,488,499,253,22,70,17,10,9
783,1530,1323,1543,892,802,1030,861,718
3,3,6,3,1,2,3,1,3
956,1032,727,1083,648,701,790,633,831
706,632,420,1113,637,460,551,338,609
530,568,266,440,314,147,106,46,64
59,24,137,163,2,72,54,82,4
324,124,63,43,29,12,13,9,8
265,287,338,348,65,224,300,207,68
1083,1196,1159,1589,1053,807,963,584,725
496,175,293,344,11,81,46,35,12
486,618,753,1052,212,721,719,728,378
375,297,642,667,23,392,407,362,29
839,734,895,1304,207,619,541,470,120
448,387,728,782,82,525,381,368,168
775,1104,725,730,385,268,260,209,192
1117,1927,1827,2762,638,1369,1639,1191,871
428,161,266,506,19,183,55,91,29
1024,1204,909,1434,771,874,972,647,896
62,42,14,11,0,7,5,4,1
260,235,265,518,28,346,206,210,49
0,0,0,0,0,0,0,0,0
600,793,689,803,451,544,899,804,1017
1899,2695,2336,4270,1680,2269,3111,1944,2031
673,803,642,2094,594,2054,2212,2242,3516
768,583,722,863,116,476,394,275,177
191,233,329,401,76,319,361,346,204
905,1309,1196,1977,1119,1342,1439,1091,1756
598,556,697,1501,559,850,795,660,465
1782,1838,2373,3605,1172,1802,1645,1371,1256
1124,1073,833,1003,613,497,658,450,625
796,1062,804,1779,957,1115,1381,867,1465
1227,2103,1521,2508,1337,1581,2024,1450,2000
1538,969,970,1177,242,732,494,500,254
