Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7
0.00980965220084369,-76.17909040803474,,804,781,1165,1091,1125,528,556,233
-0.012300135486657291,-16.114579520613848,,23,13,4,1,0,0,0,0
-0.01964813463756134,-22.753264188911324,,39,18,1,0,1,0,0,0
0.007475442231110378,-163.92937875515182,,3888,3574,3773,3054,4494,2488,2405,1380
-0.011767115493256122,-71.36164590481926,,745,431,68,24,19,3,7,4
0.02929824584696957,-3168.0294161854426,,2737,4248,7574,4856,5159,5586,3448,5894
-0.0036445277252603082,-3.2749792230925547,,1,0,0,0,0,0,0,0
0.009778788065170196,-85.88075190603212,,690,670,712,735,771,733,791,777
-0.008288076973198825,-41.30189500114921,,542,341,85,63,64,13,19,16
0.009271949934771663,-122.57213813066701,,1896,1820,2209,2413,2563,1673,1662,873
0.005725372456055986,-51.830437492425006,,350,308,282,271,387,156,161,72
0.007292638619141851,-158.2253964225606,,492,450,446,360,562,363,908,262
-0.051749326460697825,-4.072241991347411,,8,1,0,0,0,0,0,0
-0.007700250098545313,-77.79176397336164,,547,349,53,28,14,2,5,3
-0.008794760305752408,-72.9650664893408,,622,387,88,20,28,5,6,3
-0.004856646718129895,-29.03312536433001,,488,333,126,98,55,14,7,2
-0.0019780487553935494,-35.05665723212023,,1206,883,430,290,266,96,56,23
-0.008905626546287564,-38.431347528233104,,715,443,120,68,66,18,12,7
-0.03752178306378733,-79.99748363023303,,827,258,8,9,9,1,5,2
0.009432367622757457,-181.76036048198236,,2662,2565,3441,3698,3740,2395,2513,1540
