Strain	Polynomial	Condition	Data
YJL150W	non_significant	Nlim	Excluded
YJL152W	non_significant	Nlim	Excluded
YJL153C	non_significant	Nlim	Excluded
YJL158C	non_significant	Nlim	Excluded
YJL162C	non_significant	Nlim	Excluded
YJL168C	non_significant	Nlim	Excluded
YJL172W	non_significant	Nlim	Excluded
YJL187C	non_significant	Nlim	Excluded
YJL190C	non_significant	Nlim	Excluded
YJL198W	non_significant	Nlim	Excluded
YJL199C	non_significant	Nlim	Excluded
YJL210W	non_significant	Nlim	Excluded
YJL212C	non_significant	Nlim	Excluded
YJL213W	non_significant	Nlim	Excluded
YJL214W	non_significant	Nlim	Excluded
YJL215C	non_significant	Nlim	Excluded
YJL218W	non_significant	Nlim	Excluded
YJR003C	non_significant	Nlim	Excluded
YJR008W	non_significant	Nlim	Excluded
YJR019C	non_significant	Nlim	Excluded
YJR020W	non_significant	Nlim	Excluded
YJR021C	non_significant	Nlim	Excluded
YJR024C	non_significant	Nlim	Excluded
YJR036C	non_significant	Nlim	Excluded
YJR047C	non_significant	Nlim	Excluded
YJR083C	non_significant	Nlim	Excluded
YJR096W	non_significant	Nlim	Excluded
YJR097W	non_significant	Nlim	Excluded
YJR099W	non_significant	Nlim	Excluded
YJR100C	non_significant	Nlim	Excluded
YJR103W	non_significant	Nlim	Excluded
YJR106W	non_significant	Nlim	Excluded
YJR107W	non_significant	Nlim	Excluded
YJR108W	non_significant	Nlim	Excluded
YJR116W	non_significant	Nlim	Excluded
YJR117W	non_significant	Nlim	Excluded
YJR126C	non_significant	Nlim	Excluded
YJR130C	non_significant	Nlim	Excluded
YJR131W	non_significant	Nlim	Excluded
YJR135C	non_significant	Nlim	Excluded
YKL007W	non_significant	Nlim	Excluded
YKL010C	non_significant	Nlim	Excluded
YKL015W	non_significant	Nlim	Excluded
YKL062W	non_significant	Nlim	Excluded
YKL066W	non_significant	Nlim	Excluded
YKL067W	non_significant	Nlim	Excluded
YKL068W	non_significant	Nlim	Excluded
YKL079W	non_significant	Nlim	Excluded
YKL084W	non_significant	Nlim	Excluded
YKL085W	non_significant	Nlim	Excluded
YKL091C	non_significant	Nlim	Excluded
YKL092C	non_significant	Nlim	Excluded
YKL094W	non_significant	Nlim	Excluded
YKL096W	non_significant	Nlim	Excluded
YKL097C	non_significant	Nlim	Excluded
YKL100C	non_significant	Nlim	Excluded
YKL102C	non_significant	Nlim	Excluded
YKL103C	non_significant	Nlim	Excluded
