Strain	Polynomial	Condition	Data
YOL151W	linear	PulseAS	Full
YOL153C	linear	PulseAS	Full
YOL155C	linear	PulseAS	Full
YOL158C	linear	PulseAS	Full
YOL162W	linear	PulseAS	Full
YOL163W	linear	PulseAS	Full
YOR007C	linear	PulseAS	Full
YOR008C.A	linear	PulseAS	Full
YOR009W	linear	PulseAS	Full
YOR012W	linear	PulseAS	Full
YOR013W	linear	PulseAS	Full
YOR014W	linear	PulseAS	Full
YOR024W	linear	PulseAS	Full
YOR028C	linear	PulseAS	Full
YOR029W	linear	PulseAS	Full
YOR031W	linear	PulseAS	Full
YOR034C	linear	PulseAS	Full
YOR040W	linear	PulseAS	Full
YOR045W	linear	PulseAS	Full
YOR049C	linear	PulseAS	Full
YOR052C	linear	PulseAS	Full
YOR053W	linear	PulseAS	Full
YOR062C	linear	PulseAS	Full
YOR064C	linear	PulseAS	Full
YOR072W	linear	PulseAS	Full
YOR078W	linear	PulseAS	Full
YOR079C	linear	PulseAS	Full
YOR081C	linear	PulseAS	Full
YOR084W	linear	PulseAS	Full
YOR086C	linear	PulseAS	Full
YOR091W	linear	PulseAS	Full
YOR093C	linear	PulseAS	Full
YOR094W	linear	PulseAS	Full
YOR097C	linear	PulseAS	Full
YOR104W	linear	PulseAS	Full
YOR105W	linear	PulseAS	Full
YOR107W	linear	PulseAS	Full
YOR111W	linear	PulseAS	Full
YOR114W	linear	PulseAS	Full
YOR115C	linear	PulseAS	Full
YOR124C	linear	PulseAS	Full
YOR127W	linear	PulseAS	Full
YOR129C	linear	PulseAS	Full
YOR131C	linear	PulseAS	Full
YOR133W	linear	PulseAS	Full
YOR134W	linear	PulseAS	Full
YOR137C	linear	PulseAS	Full
YOR152C	linear	PulseAS	Full
YOR153W	linear	PulseAS	Full
YOR155C	linear	PulseAS	Full
YOR161C	linear	PulseAS	Full
YOR163W	linear	PulseAS	Full
YOR165W	linear	PulseAS	Full
YOR170W	linear	PulseAS	Full
YOR172W	linear	PulseAS	Full
YOR177C	linear	PulseAS	Full
YOR178C	linear	PulseAS	Full
YOR185C	linear	PulseAS	Full
YOR190W	linear	PulseAS	Full
YOR192C	linear	PulseAS	Full
YOR197W	linear	PulseAS	Full
YOR202W	linear	PulseAS	Full
YOR208W	linear	PulseAS	Full
YOR213C	linear	PulseAS	Full
YOR226C	linear	PulseAS	Full
YOR233W	linear	PulseAS	Full
YOR242C	linear	PulseAS	Full
YOR245C	linear	PulseAS	Full
YOR246C	linear	PulseAS	Full
YOR248W	linear	PulseAS	Full
YOR251C	linear	PulseAS	Full
YOR267C	linear	PulseAS	Full
YOR279C	linear	PulseAS	Full
YOR280C	linear	PulseAS	Full
YOR283W	linear	PulseAS	Full
YOR296W	linear	PulseAS	Full
YOR297C	linear	PulseAS	Full
YOR298C.A	linear	PulseAS	Full
YOR299W	linear	PulseAS	Full
YOR300W	linear	PulseAS	Full
YOR303W	linear	PulseAS	Full
YOR306C	linear	PulseAS	Full
YOR316C	linear	PulseAS	Full
YOR317W	linear	PulseAS	Full
YOR318C	linear	PulseAS	Full
YOR321W	linear	PulseAS	Full
YOR325W	linear	PulseAS	Full
YOR338W	linear	PulseAS	Full
YOR343C	linear	PulseAS	Full
YOR354C	linear	PulseAS	Full
YOR356W	linear	PulseAS	Full
YOR360C	linear	PulseAS	Full
YOR371C	linear	PulseAS	Full
YOR375C	linear	PulseAS	Full
YOR385W	linear	PulseAS	Full
YPL014W	linear	PulseAS	Full
YPL015C	linear	PulseAS	Full
YPL025C	linear	PulseAS	Full
YPL026C	linear	PulseAS	Full
YPL027W	linear	PulseAS	Full
YPL033C	linear	PulseAS	Full
YPL036W	linear	PulseAS	Full
YPL038W	linear	PulseAS	Full
YPL039W	linear	PulseAS	Full
YPL041C	linear	PulseAS	Full
YPL057C	linear	PulseAS	Full
YPL058C	linear	PulseAS	Full
YPL060W	linear	PulseAS	Full
YPL064C	linear	PulseAS	Full
YPL067C	linear	PulseAS	Full
YPL068C	linear	PulseAS	Full
YPL070W	linear	PulseAS	Full
YPL071C	linear	PulseAS	Full
YPL072W	linear	PulseAS	Full
YPL079W	linear	PulseAS	Full
YPL088W	linear	PulseAS	Full
YPL091W	linear	PulseAS	Full
YPL095C	linear	PulseAS	Full
YPL096W	linear	PulseAS	Full
YPL099C	linear	PulseAS	Full
YPL103C	linear	PulseAS	Full
YPL105C	linear	PulseAS	Full
YPL106C	linear	PulseAS	Full
YPL108W	linear	PulseAS	Full
YPL109C	linear	PulseAS	Full
YPL113C	linear	PulseAS	Full
YPL114W	linear	PulseAS	Full
YPL116W	linear	PulseAS	Full
YPL121C	linear	PulseAS	Full
YPL123C	linear	PulseAS	Full
YPL136W	linear	PulseAS	Full
YPL137C	linear	PulseAS	Full
YPL144W	linear	PulseAS	Full
YPL145C	linear	PulseAS	Full
YPL159C	linear	PulseAS	Full
YPL162C	linear	PulseAS	Full
YPL166W	linear	PulseAS	Full
YPL171C	linear	PulseAS	Full
YPL178W	linear	PulseAS	Full
YPL179W	linear	PulseAS	Full
YPL194W	linear	PulseAS	Full
YPL198W	linear	PulseAS	Full
YPL203W	linear	PulseAS	Full
YPL207W	linear	PulseAS	Full
YPL214C	linear	PulseAS	Full
YPL222W	linear	PulseAS	Full
YPL223C	linear	PulseAS	Full
YPL224C	linear	PulseAS	Full
YPL230W	linear	PulseAS	Full
YPL247C	linear	PulseAS	Full
YPL249C	linear	PulseAS	Full
YPL256C	linear	PulseAS	Full
YPL263C	linear	PulseAS	Full
YPL264C	linear	PulseAS	Full
YPL265W	linear	PulseAS	Full
YPL269W	linear	PulseAS	Full
YPL272C	linear	PulseAS	Full
YPL273W	linear	PulseAS	Full
YPR001W	linear	PulseAS	Full
YPR008W	linear	PulseAS	Full
YPR009W	linear	PulseAS	Full
YPR020W	linear	PulseAS	Full
YPR021C	linear	PulseAS	Full
YPR023C	linear	PulseAS	Full
YPR024W	linear	PulseAS	Full
YPR026W	linear	PulseAS	Full
YPR028W	linear	PulseAS	Full
YPR039W	linear	PulseAS	Full
YPR053C	linear	PulseAS	Full
YPR057W	linear	PulseAS	Full
YPR059C	linear	PulseAS	Full
YPR061C	linear	PulseAS	Full
YPR068C	linear	PulseAS	Full
YPR091C	linear	PulseAS	Full
YPR095C	linear	PulseAS	Full
YPR098C	linear	PulseAS	Full
YPR111W	linear	PulseAS	Full
YPR114W	linear	PulseAS	Full
YPR120C	linear	PulseAS	Full
YPR122W	linear	PulseAS	Full
YPR128C	linear	PulseAS	Full
YPR129W	linear	PulseAS	Full
YPR130C	linear	PulseAS	Full
YPR132W	linear	PulseAS	Full
YPR140W	linear	PulseAS	Full
YPR145W	linear	PulseAS	Full
YPR150W	linear	PulseAS	Full
YPR151C	linear	PulseAS	Full
YPR154W	linear	PulseAS	Full
YPR155C	linear	PulseAS	Full
YPR158W	linear	PulseAS	Full
YPR171W	linear	PulseAS	Full
YPR174C	linear	PulseAS	Full
YPR179C	linear	PulseAS	Full
YPR184W	linear	PulseAS	Full
YPR192W	linear	PulseAS	Full
YPR197C	linear	PulseAS	Full
YAL024C	quadratic	PulseAS	Full
YAL054C	quadratic	PulseAS	Full
YAL064C.A	quadratic	PulseAS	Full
YBL005W	quadratic	PulseAS	Full
YBL015W	quadratic	PulseAS	Full
YBL019W	quadratic	PulseAS	Full
YBL036C	quadratic	PulseAS	Full
YBL056W	quadratic	PulseAS	Full
YBL063W	quadratic	PulseAS	Full
YBL067C	quadratic	PulseAS	Full
YBL070C	quadratic	PulseAS	Full
YBL079W	quadratic	PulseAS	Full
YBL088C	quadratic	PulseAS	Full
YBL098W	quadratic	PulseAS	Full
YBL107C	quadratic	PulseAS	Full
YBR001C	quadratic	PulseAS	Full
YBR007C	quadratic	PulseAS	Full
YBR008C	quadratic	PulseAS	Full
YBR013C	quadratic	PulseAS	Full
YBR014C	quadratic	PulseAS	Full
YBR018C	quadratic	PulseAS	Full
YBR020W	quadratic	PulseAS	Full
YBR028C	quadratic	PulseAS	Full
YBR033W	quadratic	PulseAS	Full
YBR040W	quadratic	PulseAS	Full
YBR045C	quadratic	PulseAS	Full
YBR046C	quadratic	PulseAS	Full
YBR051W	quadratic	PulseAS	Full
YBR052C	quadratic	PulseAS	Full
YBR054W	quadratic	PulseAS	Full
YBR058C	quadratic	PulseAS	Full
YBR063C	quadratic	PulseAS	Full
YBR064W	quadratic	PulseAS	Full
YBR066C	quadratic	PulseAS	Full
YBR068C	quadratic	PulseAS	Full
YBR071W	quadratic	PulseAS	Full
YBR073W	quadratic	PulseAS	Full
YBR076W	quadratic	PulseAS	Full
YBR077C	quadratic	PulseAS	Full
YBR078W	quadratic	PulseAS	Full
YBR083W	quadratic	PulseAS	Full
YBR086C	quadratic	PulseAS	Full
YBR090C.A	quadratic	PulseAS	Full
YBR098W	quadratic	PulseAS	Full
YBR104W	quadratic	PulseAS	Full
YBR113W	quadratic	PulseAS	Full
YBR116C	quadratic	PulseAS	Full
YBR119W	quadratic	PulseAS	Full
YBR126C	quadratic	PulseAS	Full
YBR128C	quadratic	PulseAS	Full
YBR138C	quadratic	PulseAS	Full
YBR141C	quadratic	PulseAS	Full
YBR148W	quadratic	PulseAS	Full
YBR151W	quadratic	PulseAS	Full
YBR161W	quadratic	PulseAS	Full
YBR162W.A	quadratic	PulseAS	Full
YBR177C	quadratic	PulseAS	Full
YBR180W	quadratic	PulseAS	Full
YBR181C	quadratic	PulseAS	Full
YBR183W	quadratic	PulseAS	Full
YBR186W	quadratic	PulseAS	Full
YBR205W	quadratic	PulseAS	Full
YBR207W	quadratic	PulseAS	Full
YBR208C	quadratic	PulseAS	Full
YBR210W	quadratic	PulseAS	Full
YBR212W	quadratic	PulseAS	Full
YBR228W	quadratic	PulseAS	Full
YBR239C	quadratic	PulseAS	Full
YBR241C	quadratic	PulseAS	Full
YBR242W	quadratic	PulseAS	Full
YBR244W	quadratic	PulseAS	Full
YBR266C	quadratic	PulseAS	Full
YBR276C	quadratic	PulseAS	Full
YBR281C	quadratic	PulseAS	Full
YBR285W	quadratic	PulseAS	Full
YCL001W	quadratic	PulseAS	Full
YCL009C	quadratic	PulseAS	Full
YCL012W	quadratic	PulseAS	Full
YCL013W	quadratic	PulseAS	Full
YCL023C	quadratic	PulseAS	Full
YCL024W	quadratic	PulseAS	Full
YCL035C	quadratic	PulseAS	Full
YCL039W	quadratic	PulseAS	Full
YCL049C	quadratic	PulseAS	Full
YCL050C	quadratic	PulseAS	Full
YCL055W	quadratic	PulseAS	Full
YCL062W	quadratic	PulseAS	Full
YCL069W	quadratic	PulseAS	Full
YCR001W	quadratic	PulseAS	Full
YCR008W	quadratic	PulseAS	Full
YCR014C	quadratic	PulseAS	Full
YCR016W	quadratic	PulseAS	Full
YCR023C	quadratic	PulseAS	Full
YCR030C	quadratic	PulseAS	Full
YCR037C	quadratic	PulseAS	Full
YCR045C	quadratic	PulseAS	Full
YCR049C	quadratic	PulseAS	Full
YCR051W	quadratic	PulseAS	Full
YCR060W	quadratic	PulseAS	Full
YCR068W	quadratic	PulseAS	Full
YCR075C	quadratic	PulseAS	Full
YCR076C	quadratic	PulseAS	Full
YCR087C.A	quadratic	PulseAS	Full
YCR087W	quadratic	PulseAS	Full
YCR088W	quadratic	PulseAS	Full
YCR090C	quadratic	PulseAS	Full
YCR105W	quadratic	PulseAS	Full
YCR106W	quadratic	PulseAS	Full
YDL012C	quadratic	PulseAS	Full
YDL018C	quadratic	PulseAS	Full
YDL027C	quadratic	PulseAS	Full
YDL037C	quadratic	PulseAS	Full
YDL038C	quadratic	PulseAS	Full
YDL039C	quadratic	PulseAS	Full
YDL048C	quadratic	PulseAS	Full
YDL052C	quadratic	PulseAS	Full
YDL071C	quadratic	PulseAS	Full
YDL093W	quadratic	PulseAS	Full
YDL096C	quadratic	PulseAS	Full
YDL104C	quadratic	PulseAS	Full
YDL109C	quadratic	PulseAS	Full
YDL119C	quadratic	PulseAS	Full
YDL121C	quadratic	PulseAS	Full
YDL136W	quadratic	PulseAS	Full
YDL154W	quadratic	PulseAS	Full
YDL155W	quadratic	PulseAS	Full
YDL169C	quadratic	PulseAS	Full
YDL178W	quadratic	PulseAS	Full
YDL180W	quadratic	PulseAS	Full
YDL199C	quadratic	PulseAS	Full
YDL201W	quadratic	PulseAS	Full
YDL204W	quadratic	PulseAS	Full
YDL210W	quadratic	PulseAS	Full
YDL215C	quadratic	PulseAS	Full
YDL230W	quadratic	PulseAS	Full
YDL236W	quadratic	PulseAS	Full
YDR009W	quadratic	PulseAS	Full
YDR011W	quadratic	PulseAS	Full
YDR015C	quadratic	PulseAS	Full
YDR022C	quadratic	PulseAS	Full
YDR029W	quadratic	PulseAS	Full
YDR035W	quadratic	PulseAS	Full
YDR036C	quadratic	PulseAS	Full
YDR051C	quadratic	PulseAS	Full
YDR059C	quadratic	PulseAS	Full
YDR061W	quadratic	PulseAS	Full
YDR066C	quadratic	PulseAS	Full
YDR072C	quadratic	PulseAS	Full
YDR083W	quadratic	PulseAS	Full
YDR095C	quadratic	PulseAS	Full
YDR096W	quadratic	PulseAS	Full
YDR097C	quadratic	PulseAS	Full
YDR101C	quadratic	PulseAS	Full
YDR104C	quadratic	PulseAS	Full
YDR109C	quadratic	PulseAS	Full
YDR110W	quadratic	PulseAS	Full
YDR119W	quadratic	PulseAS	Full
YDR120C	quadratic	PulseAS	Full
YDR121W	quadratic	PulseAS	Full
YDR124W	quadratic	PulseAS	Full
YDR134C	quadratic	PulseAS	Full
YDR135C	quadratic	PulseAS	Full
YDR152W	quadratic	PulseAS	Full
YDR156W	quadratic	PulseAS	Full
YDR161W	quadratic	PulseAS	Full
YDR163W	quadratic	PulseAS	Full
YDR169C	quadratic	PulseAS	Full
YDR174W	quadratic	PulseAS	Full
YDR181C	quadratic	PulseAS	Full
YDR185C	quadratic	PulseAS	Full
YDR191W	quadratic	PulseAS	Full
YDR192C	quadratic	PulseAS	Full
YDR220C	quadratic	PulseAS	Full
YDR241W	quadratic	PulseAS	Full
YDR247W	quadratic	PulseAS	Full
YDR249C	quadratic	PulseAS	Full
YDR250C	quadratic	PulseAS	Full
YDR252W	quadratic	PulseAS	Full
YDR253C	quadratic	PulseAS	Full
YDR257C	quadratic	PulseAS	Full
YDR259C	quadratic	PulseAS	Full
YDR261C	quadratic	PulseAS	Full
YDR262W	quadratic	PulseAS	Full
YDR278C	quadratic	PulseAS	Full
YDR287W	quadratic	PulseAS	Full
YDR294C	quadratic	PulseAS	Full
YDR305C	quadratic	PulseAS	Full
YDR307W	quadratic	PulseAS	Full
YDR320C	quadratic	PulseAS	Full
YDR321W	quadratic	PulseAS	Full
YDR330W	quadratic	PulseAS	Full
YDR334W	quadratic	PulseAS	Full
YDR345C	quadratic	PulseAS	Full
YDR351W	quadratic	PulseAS	Full
YDR363W.A	quadratic	PulseAS	Full
YDR383C	quadratic	PulseAS	Full
YDR386W	quadratic	PulseAS	Full
YDR400W	quadratic	PulseAS	Full
YDR402C	quadratic	PulseAS	Full
YDR403W	quadratic	PulseAS	Full
YDR411C	quadratic	PulseAS	Full
YDR421W	quadratic	PulseAS	Full
YDR423C	quadratic	PulseAS	Full
YDR425W	quadratic	PulseAS	Full
YDR431W	quadratic	PulseAS	Full
YDR436W	quadratic	PulseAS	Full
YDR438W	quadratic	PulseAS	Full
YDR445C	quadratic	PulseAS	Full
YDR447C	quadratic	PulseAS	Full
YDR451C	quadratic	PulseAS	Full
YDR459C	quadratic	PulseAS	Full
YDR475C	quadratic	PulseAS	Full
YDR476C	quadratic	PulseAS	Full
YDR480W	quadratic	PulseAS	Full
YDR492W	quadratic	PulseAS	Full
YDR501W	quadratic	PulseAS	Full
YDR503C	quadratic	PulseAS	Full
YDR508C	quadratic	PulseAS	Full
YDR509W	quadratic	PulseAS	Full
YDR515W	quadratic	PulseAS	Full
YDR517W	quadratic	PulseAS	Full
YDR528W	quadratic	PulseAS	Full
YDR534C	quadratic	PulseAS	Full
YDR535C	quadratic	PulseAS	Full
YDR540C	quadratic	PulseAS	Full
YEL001C	quadratic	PulseAS	Full
YEL014C	quadratic	PulseAS	Full
YEL015W	quadratic	PulseAS	Full
YEL017C.A	quadratic	PulseAS	Full
YEL048C	quadratic	PulseAS	Full
YEL052W	quadratic	PulseAS	Full
YEL056W	quadratic	PulseAS	Full
YEL057C	quadratic	PulseAS	Full
YEL059W	quadratic	PulseAS	Full
YEL067C	quadratic	PulseAS	Full
YEL071W	quadratic	PulseAS	Full
YER005W	quadratic	PulseAS	Full
YER007C.A	quadratic	PulseAS	Full
YER010C	quadratic	PulseAS	Full
YER019C.A	quadratic	PulseAS	Full
YER020W	quadratic	PulseAS	Full
YER024W	quadratic	PulseAS	Full
YER027C	quadratic	PulseAS	Full
YER032W	quadratic	PulseAS	Full
YER035W	quadratic	PulseAS	Full
YER038W.A	quadratic	PulseAS	Full
YER039C.A	quadratic	PulseAS	Full
YER042W	quadratic	PulseAS	Full
YER044C.A	quadratic	PulseAS	Full
YER045C	quadratic	PulseAS	Full
YER046W	quadratic	PulseAS	Full
YER053C	quadratic	PulseAS	Full
YER056C	quadratic	PulseAS	Full
YER057C	quadratic	PulseAS	Full
YER059W	quadratic	PulseAS	Full
YER060W	quadratic	PulseAS	Full
YER060W.A	quadratic	PulseAS	Full
YER064C	quadratic	PulseAS	Full
YER065C	quadratic	PulseAS	Full
YER067C.A	quadratic	PulseAS	Full
YER072W	quadratic	PulseAS	Full
YER073W	quadratic	PulseAS	Full
YER075C	quadratic	PulseAS	Full
YER078C	quadratic	PulseAS	Full
YER096W	quadratic	PulseAS	Full
YER108C	quadratic	PulseAS	Full
YER114C	quadratic	PulseAS	Full
YER120W	quadratic	PulseAS	Full
YER121W	quadratic	PulseAS	Full
YER142C	quadratic	PulseAS	Full
YER143W	quadratic	PulseAS	Full
YER149C	quadratic	PulseAS	Full
YER152C	quadratic	PulseAS	Full
YER155C	quadratic	PulseAS	Full
YER158C	quadratic	PulseAS	Full
YER174C	quadratic	PulseAS	Full
YER179W	quadratic	PulseAS	Full
YER180C	quadratic	PulseAS	Full
YER182W	quadratic	PulseAS	Full
YER184C	quadratic	PulseAS	Full
YER187W	quadratic	PulseAS	Full
YER188W	quadratic	PulseAS	Full
YFL015C	quadratic	PulseAS	Full
YFL021W	quadratic	PulseAS	Full
YFL033C	quadratic	PulseAS	Full
YFL044C	quadratic	PulseAS	Full
YFL050C	quadratic	PulseAS	Full
YFL052W	quadratic	PulseAS	Full
YFL054C	quadratic	PulseAS	Full
YFL055W	quadratic	PulseAS	Full
YFL056C	quadratic	PulseAS	Full
YFR007W	quadratic	PulseAS	Full
YFR009W	quadratic	PulseAS	Full
YFR014C	quadratic	PulseAS	Full
YFR015C	quadratic	PulseAS	Full
YFR017C	quadratic	PulseAS	Full
YFR020W	quadratic	PulseAS	Full
YFR021W	quadratic	PulseAS	Full
YFR023W	quadratic	PulseAS	Full
YFR024C	quadratic	PulseAS	Full
YFR026C	quadratic	PulseAS	Full
YFR044C	quadratic	PulseAS	Full
YFR045W	quadratic	PulseAS	Full
YFR054C	quadratic	PulseAS	Full
YFR055W	quadratic	PulseAS	Full
YFR056C	quadratic	PulseAS	Full
YGL006W	quadratic	PulseAS	Full
YGL017W	quadratic	PulseAS	Full
YGL021W	quadratic	PulseAS	Full
YGL029W	quadratic	PulseAS	Full
YGL049C	quadratic	PulseAS	Full
YGL050W	quadratic	PulseAS	Full
YGL056C	quadratic	PulseAS	Full
YGL057C	quadratic	PulseAS	Full
YGL077C	quadratic	PulseAS	Full
YGL082W	quadratic	PulseAS	Full
YGL085W	quadratic	PulseAS	Full
YGL094C	quadratic	PulseAS	Full
YGL096W	quadratic	PulseAS	Full
YGL126W	quadratic	PulseAS	Full
YGL146C	quadratic	PulseAS	Full
YGL159W	quadratic	PulseAS	Full
YGL164C	quadratic	PulseAS	Full
YGL175C	quadratic	PulseAS	Full
YGL197W	quadratic	PulseAS	Full
YGL214W	quadratic	PulseAS	Full
YGL243W	quadratic	PulseAS	Full
YGL248W	quadratic	PulseAS	Full
YGL253W	quadratic	PulseAS	Full
YGL254W	quadratic	PulseAS	Full
YGL256W	quadratic	PulseAS	Full
YGL260W	quadratic	PulseAS	Full
YGL261C	quadratic	PulseAS	Full
YGL263W	quadratic	PulseAS	Full
YGR003W	quadratic	PulseAS	Full
YGR004W	quadratic	PulseAS	Full
YGR008C	quadratic	PulseAS	Full
YGR010W	quadratic	PulseAS	Full
YGR014W	quadratic	PulseAS	Full
YGR018C	quadratic	PulseAS	Full
YGR022C	quadratic	PulseAS	Full
YGR023W	quadratic	PulseAS	Full
YGR026W	quadratic	PulseAS	Full
YGR028W	quadratic	PulseAS	Full
YGR031W	quadratic	PulseAS	Full
YGR039W	quadratic	PulseAS	Full
YGR040W	quadratic	PulseAS	Full
YGR044C	quadratic	PulseAS	Full
YGR051C	quadratic	PulseAS	Full
YGR067C	quadratic	PulseAS	Full
YGR077C	quadratic	PulseAS	Full
YGR080W	quadratic	PulseAS	Full
YGR084C	quadratic	PulseAS	Full
YGR085C	quadratic	PulseAS	Full
YGR100W	quadratic	PulseAS	Full
YGR121C	quadratic	PulseAS	Full
YGR124W	quadratic	PulseAS	Full
YGR126W	quadratic	PulseAS	Full
YGR127W	quadratic	PulseAS	Full
YGR129W	quadratic	PulseAS	Full
YGR131W	quadratic	PulseAS	Full
YGR134W	quadratic	PulseAS	Full
YGR136W	quadratic	PulseAS	Full
YGR141W	quadratic	PulseAS	Full
YGR142W	quadratic	PulseAS	Full
YGR146C	quadratic	PulseAS	Full
YGR148C	quadratic	PulseAS	Full
YGR152C	quadratic	PulseAS	Full
YGR154C	quadratic	PulseAS	Full
YGR169C	quadratic	PulseAS	Full
YGR170W	quadratic	PulseAS	Full
YGR177C	quadratic	PulseAS	Full
YGR181W	quadratic	PulseAS	Full
YGR187C	quadratic	PulseAS	Full
YGR192C	quadratic	PulseAS	Full
YGR202C	quadratic	PulseAS	Full
YGR207C	quadratic	PulseAS	Full
YGR224W	quadratic	PulseAS	Full
YGR228W	quadratic	PulseAS	Full
YGR231C	quadratic	PulseAS	Full
YGR234W	quadratic	PulseAS	Full
YGR235C	quadratic	PulseAS	Full
YGR238C	quadratic	PulseAS	Full
YGR241C	quadratic	PulseAS	Full
YGR243W	quadratic	PulseAS	Full
YGR247W	quadratic	PulseAS	Full
YGR249W	quadratic	PulseAS	Full
YGR256W	quadratic	PulseAS	Full
YGR271W	quadratic	PulseAS	Full
YGR281W	quadratic	PulseAS	Full
YGR284C	quadratic	PulseAS	Full
YGR288W	quadratic	PulseAS	Full
YGR292W	quadratic	PulseAS	Full
YGR295C	quadratic	PulseAS	Full
YHL002W	quadratic	PulseAS	Full
YHL022C	quadratic	PulseAS	Full
YHL027W	quadratic	PulseAS	Full
YHL029C	quadratic	PulseAS	Full
YHL032C	quadratic	PulseAS	Full
YHL033C	quadratic	PulseAS	Full
YHL045W	quadratic	PulseAS	Full
YHR001W.A	quadratic	PulseAS	Full
YHR003C	quadratic	PulseAS	Full
YHR032W	quadratic	PulseAS	Full
YHR034C	quadratic	PulseAS	Full
YHR049W	quadratic	PulseAS	Full
YHR073W	quadratic	PulseAS	Full
YHR075C	quadratic	PulseAS	Full
YHR077C	quadratic	PulseAS	Full
YHR080C	quadratic	PulseAS	Full
YHR082C	quadratic	PulseAS	Full
YHR087W	quadratic	PulseAS	Full
YHR092C	quadratic	PulseAS	Full
YHR094C	quadratic	PulseAS	Full
YHR095W	quadratic	PulseAS	Full
YHR114W	quadratic	PulseAS	Full
YHR116W	quadratic	PulseAS	Full
YHR121W	quadratic	PulseAS	Full
YHR126C	quadratic	PulseAS	Full
YHR127W	quadratic	PulseAS	Full
YHR130C	quadratic	PulseAS	Full
YHR133C	quadratic	PulseAS	Full
YHR135C	quadratic	PulseAS	Full
YHR137W	quadratic	PulseAS	Full
YHR138C	quadratic	PulseAS	Full
YHR139C	quadratic	PulseAS	Full
YHR156C	quadratic	PulseAS	Full
YHR158C	quadratic	PulseAS	Full
YHR171W	quadratic	PulseAS	Full
YHR189W	quadratic	PulseAS	Full
YHR198C	quadratic	PulseAS	Full
YHR203C	quadratic	PulseAS	Full
YHR207C	quadratic	PulseAS	Full
YIL001W	quadratic	PulseAS	Full
YIL009C.A	quadratic	PulseAS	Full
YIL013C	quadratic	PulseAS	Full
YIL014W	quadratic	PulseAS	Full
YIL015C.A	quadratic	PulseAS	Full
YIL032C	quadratic	PulseAS	Full
YIL043C	quadratic	PulseAS	Full
YIL054W	quadratic	PulseAS	Full
YIL055C	quadratic	PulseAS	Full
YIL056W	quadratic	PulseAS	Full
YIL060W	quadratic	PulseAS	Full
YIL065C	quadratic	PulseAS	Full
YIL066C	quadratic	PulseAS	Full
YIL071C	quadratic	PulseAS	Full
YIL085C	quadratic	PulseAS	Full
YIL087C	quadratic	PulseAS	Full
YIL095W	quadratic	PulseAS	Full
YIL102C	quadratic	PulseAS	Full
YIL108W	quadratic	PulseAS	Full
YIL111W	quadratic	PulseAS	Full
YIL112W	quadratic	PulseAS	Full
YIL114C	quadratic	PulseAS	Full
YIL120W	quadratic	PulseAS	Full
YIL130W	quadratic	PulseAS	Full
YIL133C	quadratic	PulseAS	Full
YIL135C	quadratic	PulseAS	Full
YIL137C	quadratic	PulseAS	Full
YIL138C	quadratic	PulseAS	Full
YIL141W	quadratic	PulseAS	Full
YIL155C	quadratic	PulseAS	Full
YIL160C	quadratic	PulseAS	Full
YIL161W	quadratic	PulseAS	Full
YIL162W	quadratic	PulseAS	Full
YIL163C	quadratic	PulseAS	Full
YIL165C	quadratic	PulseAS	Full
YIL173W	quadratic	PulseAS	Full
YIR005W	quadratic	PulseAS	Full
YIR013C	quadratic	PulseAS	Full
YIR019C	quadratic	PulseAS	Full
YIR023W	quadratic	PulseAS	Full
YIR030C	quadratic	PulseAS	Full
YIR036C	quadratic	PulseAS	Full
YIR042C	quadratic	PulseAS	Full
YIR043C	quadratic	PulseAS	Full
YJL004C	quadratic	PulseAS	Full
YJL021C	quadratic	PulseAS	Full
YJL024C	quadratic	PulseAS	Full
YJL027C	quadratic	PulseAS	Full
YJL037W	quadratic	PulseAS	Full
YJL038C	quadratic	PulseAS	Full
YJL044C	quadratic	PulseAS	Full
YJL060W	quadratic	PulseAS	Full
YJL067W	quadratic	PulseAS	Full
YJL068C	quadratic	PulseAS	Full
YJL070C	quadratic	PulseAS	Full
YJL079C	quadratic	PulseAS	Full
YJL083W	quadratic	PulseAS	Full
YJL092W	quadratic	PulseAS	Full
YJL094C	quadratic	PulseAS	Full
YJL106W	quadratic	PulseAS	Full
YJL108C	quadratic	PulseAS	Full
YJL110C	quadratic	PulseAS	Full
YJL112W	quadratic	PulseAS	Full
YJL123C	quadratic	PulseAS	Full
YJL134W	quadratic	PulseAS	Full
YJL145W	quadratic	PulseAS	Full
YJL146W	quadratic	PulseAS	Full
YJL148W	quadratic	PulseAS	Full
YJL150W	quadratic	PulseAS	Full
YJL152W	quadratic	PulseAS	Full
YJL160C	quadratic	PulseAS	Full
YJL169W	quadratic	PulseAS	Full
YJL171C	quadratic	PulseAS	Full
YJL181W	quadratic	PulseAS	Full
YJL185C	quadratic	PulseAS	Full
YJL213W	quadratic	PulseAS	Full
YJL215C	quadratic	PulseAS	Full
YJL216C	quadratic	PulseAS	Full
YJL218W	quadratic	PulseAS	Full
YJR001W	quadratic	PulseAS	Full
YJR003C	quadratic	PulseAS	Full
YJR005W	quadratic	PulseAS	Full
YJR009C	quadratic	PulseAS	Full
YJR024C	quadratic	PulseAS	Full
YJR026W	quadratic	PulseAS	Full
YJR030C	quadratic	PulseAS	Full
YJR040W	quadratic	PulseAS	Full
YJR043C	quadratic	PulseAS	Full
YJR050W	quadratic	PulseAS	Full
