row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_count
2477,65.0,31.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0952191996980564e-05,5.050686078679914e-06,7.221261994967502e-07,3.746738464166943e-07,0.0,0.0,1.5122036345511916e-07,0.0,2.1563623106286302e-06,3.9450777001946335e-06,1.8294211221547407,0,0,0,0,1,1,0,1,3
1035,55.0,12.0,0.0,1.0,0.0,2.0,3.0,0.0,9.267239382060477e-06,1.955104288521257e-06,0.0,1.8733692320834715e-07,0.0,3.8222194022736856e-07,4.536610903653575e-07,0.0,1.530695453047851e-06,3.192556680397519e-06,2.0855540653985227,0,0,1,0,1,0,0,1,3
3712,16.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,2.695924183872139e-06,8.14626786883857e-07,3.610630997483751e-07,1.8733692320834715e-07,0.0,0.0,0.0,2.5275697833582023e-07,5.389634965060674e-07,9.131670616565765e-07,1.6939879394083557,0,0,0,0,1,1,1,0,3
1218,67.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,1.1289182519964583e-05,1.7921789311444855e-06,1.8053154987418755e-07,1.8733692320834715e-07,0.0,1.9111097011368428e-07,0.0,0.0,1.705042611788161e-06,3.91889917109384e-06,2.298282351283299,0,0,0,0,1,0,1,1,3
1071,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.369905229840174e-07,1.629253573767714e-07,0.0,0.0,1.6012256421555315e-07,0.0,3.024407269102383e-07,1.2637848916791012e-07,1.3610720758181129e-07,1.3362370427059337e-07,0.981032550647761,0,0,1,1,0,1,0,0,3
2524,7.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.1794668304440609e-06,1.629253573767714e-07,0.0,0.0,1.6012256421555315e-07,3.8222194022736856e-07,0.0,1.2637848916791012e-07,2.51389397678958e-07,3.963796902245362e-07,1.576128830411132,0,0,1,1,0,0,1,0,3
1778,29.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,4.886362583268252e-06,1.4663282163909427e-06,1.8053154987418755e-07,0.0,1.6012256421555315e-07,0.0,1.5122036345511916e-07,0.0,8.555706596505068e-07,1.7009134931603345e-06,1.9878132713526273,0,0,0,1,0,1,0,1,3
1944,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,5.415946496225626e-07,1.8733692320834715e-07,3.202451284311063e-07,1.9111097011368428e-07,3.024407269102383e-07,0.0,1.9284104978574232e-07,1.9326859988585168e-07,1.001697669316473,1,1,0,0,0,0,0,1,3
569,129.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,2.1735888732469122e-05,1.4663282163909427e-06,1.8053154987418755e-07,1.8733692320834715e-07,0.0,1.9111097011368428e-07,0.0,0.0,2.9701495490070357e-06,7.598203555041563e-06,2.5581027552320204,0,0,0,0,1,0,1,1,3
1882,3.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,5.054857844760261e-07,1.629253573767714e-07,0.0,1.8733692320834715e-07,4.803676926466595e-07,0.0,1.5122036345511916e-07,0.0,1.859170151453654e-07,2.0502797700332783e-07,1.1022001231613467,0,0,1,0,0,1,0,1,3
