row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,reads_t8,reads_t9,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_t8,freq_t9,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_t8,zero_t9,zero_count
1604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962237908788118e-07,0.0,0.0,0.0,0.0,1.962237908788118e-08,6.205141102896183e-08,3.146243703787774,1,1,1,1,1,0,1,1,1,1,9
1710,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962237908788118e-07,0.0,0.0,0.0,0.0,1.962237908788118e-08,6.205141102896183e-08,3.146243703787774,1,1,1,1,1,0,1,1,1,1,9
3770,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9210003955339814e-07,0.0,0.0,0.0,0.0,0.0,1.9210003955339813e-08,6.07473663597173e-08,3.1459012903474197,1,1,1,1,0,1,1,1,1,1,9
3013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9210003955339814e-07,0.0,0.0,0.0,0.0,0.0,1.9210003955339813e-08,6.07473663597173e-08,3.1459012903474197,1,1,1,1,0,1,1,1,1,1,9
819,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9210003955339814e-07,0.0,0.0,0.0,0.0,0.0,1.9210003955339813e-08,6.07473663597173e-08,3.1459012903474197,1,1,1,1,0,1,1,1,1,1,9
1815,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9210003955339814e-07,0.0,0.0,0.0,0.0,0.0,1.9210003955339813e-08,6.07473663597173e-08,3.1459012903474197,1,1,1,1,0,1,1,1,1,1,9
3855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9210003955339814e-07,0.0,0.0,0.0,0.0,0.0,1.9210003955339813e-08,6.07473663597173e-08,3.1459012903474197,1,1,1,1,0,1,1,1,1,1,9
373,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9210003955339814e-07,0.0,0.0,0.0,0.0,0.0,1.9210003955339813e-08,6.07473663597173e-08,3.1459012903474197,1,1,1,1,0,1,1,1,1,1,9
2781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0196403116836505e-07,0.0,1.0196403116836506e-08,3.2243857790443316e-08,3.1315652101575844,1,1,1,1,1,1,1,1,0,1,9
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0196403116836505e-07,0.0,1.0196403116836506e-08,3.2243857790443316e-08,3.1315652101575844,1,1,1,1,1,1,1,1,0,1,9
