row_number,reads_t0,reads_t1,reads_t2,reads_t3,reads_t4,reads_t5,reads_t6,reads_t7,reads_t8,reads_t9,freq_t0,freq_t1,freq_t2,freq_t3,freq_t4,freq_t5,freq_t6,freq_t7,freq_t8,freq_t9,freq_mean,freq_std,freq_cv,zero_t0,zero_t1,zero_t2,zero_t3,zero_t4,zero_t5,zero_t6,zero_t7,zero_t8,zero_t9,zero_count
2889,410.0,104.0,34.0,11.0,13.0,12.0,9.0,10.0,20.0,5.0,8.423391717710367e-05,2.114586601369317e-05,7.045261036246003e-06,2.4488174882968788e-06,2.4973005141941757e-06,2.3546854905457414e-06,1.9023160698149998e-06,1.8466579553655386e-06,2.039280623367301e-06,1.8543387261212166e-06,1.2736844109474868e-05,2.5824768746217734e-05,2.027548250526355,0,0,0,0,0,0,0,0,0,0,0
2890,223.0,80.0,18.0,10.0,5.0,5.0,4.0,6.0,8.0,4.0,4.581503300120516e-05,1.6266050779763976e-05,3.7298440780125897e-06,2.226197716633526e-06,9.605001977669908e-07,9.81118954394059e-07,8.454738088066666e-07,1.107994773219323e-06,8.157122493469204e-07,1.4834709808969732e-06,7.423139654004617e-06,1.4291151235793853e-05,1.9251906043588665,0,0,0,0,0,0,0,0,0,0,0
2891,487.0,141.0,64.0,22.0,37.0,18.0,12.0,12.0,20.0,4.0,0.00010005345772012069,2.8668914499334007e-05,1.3261667832933654e-05,4.8976349765937575e-06,7.1077014634757315e-06,3.5320282358186123e-06,2.5364214264199996e-06,2.215989546438646e-06,2.039280623367301e-06,1.4834709808969732e-06,1.657965673053994e-05,3.048552951421486e-05,1.8387199528724365,0,0,0,0,0,0,0,0,0,0,0
2892,2613.0,3050.0,2944.0,2542.0,2576.0,2065.0,1217.0,865.0,795.0,45.0,0.0005368371355701753,0.0006201431859785016,0.000610036720314948,0.0005658994595682423,0.0004948497018895536,0.00040520212816474635,0.0002572354063294283,0.00015973591313911908,8.106140477885021e-05,1.668904853509095e-05,0.0003747690104268656,0.000228093706860113,0.6086246185026084,0,0,0,0,0,0,0,0,0,0,0
2893,364.0,196.0,132.0,90.0,67.0,36.0,30.0,28.0,38.0,8.0,7.478328256698959e-05,3.985182441042174e-05,2.735218990542566e-05,2.0035779449701733e-05,1.2870702650077676e-05,7.064056471637225e-06,6.341053566049999e-06,5.170642275023508e-06,3.874633184397872e-06,2.9669419617939464e-06,2.0031110644151893e-05,2.2667019566011576e-05,1.131585103301243,0,0,0,0,0,0,0,0,0,0,0
2894,286.0,90.0,32.0,14.0,16.0,6.0,8.0,4.0,12.0,0.0,5.875829344549182e-05,1.829930712723447e-05,6.630833916466827e-06,3.116676803286936e-06,3.0736006328543702e-06,1.1773427452728707e-06,1.6909476176133332e-06,7.386631821462154e-07,1.2235683740203805e-06,0.0,9.470923384438723e-06,1.8134787406916192e-05,1.9147653501428774,0,0,0,0,0,0,0,0,0,1,1
2895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,10
2896,354.0,132.0,73.0,39.0,39.0,20.0,12.0,18.0,14.0,1.0,7.272879678218218e-05,2.683898378661056e-05,1.5126589871939948e-05,8.682171094870752e-06,7.4919015425825275e-06,3.924475817576236e-06,2.5364214264199996e-06,3.3239843196579695e-06,1.4274964363571107e-06,3.708677452242433e-07,1.4245168882342152e-05,2.205030127490924e-05,1.547903479887409,0,0,0,0,0,0,0,0,0,0,0
2897,2351.0,2643.0,2678.0,2329.0,2449.0,1753.0,1200.0,855.0,1143.0,85.0,0.00048300960800822125,0.0005373896526364524,0.0005549179133843175,0.0005184814482039482,0.00047045299686627204,0.00034398030541055706,0.000253642142642,0.00015788925518375356,0.00011654488762544125,3.152375834406068e-05,0.00034678319683050234,0.00019429223443184881,0.5602698751860972,0,0,0,0,0,0,0,0,0,0,0
2898,339.0,110.0,36.0,20.0,20.0,12.0,9.0,11.0,21.0,1.0,6.964706810497108e-05,2.2365819822175465e-05,7.4596881560251795e-06,4.452395433267052e-06,3.842000791067963e-06,2.3546854905457414e-06,1.9023160698149998e-06,2.0313237509020925e-06,2.141244654535666e-06,3.708677452242433e-07,1.1656741001852946e-05,2.1344767052101897e-05,1.831093608354869,0,0,0,0,0,0,0,0,0,0,0
2899,128.0,25.0,9.0,3.0,7.0,5.0,1.0,0.0,0.0,0.0,2.62974180455348e-05,5.083140868676242e-06,1.8649220390062949e-06,6.678593149900578e-07,1.344700276873787e-06,9.81118954394059e-07,2.1136845220166665e-07,0.0,0.0,0.0,3.6450527951676914e-06,8.105333486133275e-06,2.2235922447142293,0,0,0,0,0,0,0,1,1,1,3
2900,1495.0,637.0,362.0,152.0,94.0,43.0,22.0,30.0,44.0,17.0,0.00030714562482870726,0.00012951842933387066,7.501130868003098e-05,3.3838205292829594e-05,1.8057403718019427e-05,8.437623007788907e-06,4.650105948436666e-06,5.539973866096615e-06,4.486417371408062e-06,6.304751668812137e-06,5.929898437160004e-05,9.616590954184306e-05,1.6217098554037632,0,0,0,0,0,0,0,0,0,0,0
