Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8,Estimated_Read_Number_t9
-0.005721645604050793,-46.45705129182115,,1211,1222,844,587,670,565,437,351,191,60
-0.006979708535713548,-48.45127002287805,,1240,1214,867,560,661,494,360,357,176,47
-0.006261016376667868,-56.39914578991766,,508,506,381,288,326,252,276,193,128,33
0.006067421815546774,-65.49589763126954,,1309,1754,2126,1911,2445,2518,2718,2886,2602,1133
0.005983796092914185,-96.54510738765318,,1726,2308,2632,2778,3497,4324,5124,5543,4838,2026
-0.010780195940583855,-39.239369253229356,,752,672,442,270,242,181,114,88,60,11
-0.006613145436243263,-54.77278739231935,,401,396,431,300,253,144,109,67,54,10
-0.0056743802662334916,-48.98613304763432,,2141,2164,1527,975,1113,921,806,680,438,120
0.0007145417265309968,-63.16972704028289,,1259,1483,1104,1078,1282,1370,1410,1481,1078,340
-0.0059432689692447815,-127.90959113896004,,1371,1377,1217,682,860,673,680,609,420,159
-0.006020541153451372,-73.55761913113088,,818,820,696,440,565,406,367,352,218,66
2.5818054930778177e-05,-58.211460212142185,,1282,1486,1463,1206,1460,1419,1242,1241,791,270
-0.008626419712821649,-51.702012786236146,,1720,1619,934,649,636,524,434,410,204,50
-0.006284232131862582,-71.8698895392074,,871,867,431,344,261,386,372,310,199,48
-0.004194849194460937,-62.34386610021325,,1755,1838,1152,947,1126,826,734,790,478,145
-0.04418318734374567,-38.38476077879992,,966,387,89,28,16,8,3,1,1,0
-0.0029882994987428363,-60.46197102560957,,1608,1733,1241,950,1323,975,862,906,552,159
-0.0058761666245764396,-50.27647827650015,,1864,1875,1312,913,1085,844,657,502,321,74
-0.004418629438745783,-82.20301735124279,,2615,2724,2153,1529,1884,1445,1273,1142,789,245
-0.01327717049085041,-61.16343704443847,,1729,1456,691,532,514,352,237,178,89,13
-0.003755215648048363,-48.14191884716602,,1481,1567,1181,826,970,847,697,680,408,128
-0.011691491245578504,-60.08719726359906,,467,408,287,116,173,84,99,112,61,20
-0.012186120606077006,-43.287969151722756,,1167,1009,604,322,330,243,168,136,66,20
-0.0006214046945848977,-57.100230841031504,,646,737,506,467,543,513,475,487,315,76
0.0036303165895281942,-73.05909879877413,,964,1218,1563,1322,1556,1677,1683,1633,1324,578
0.0013952078987862042,-103.94086957693496,,1534,1837,1152,1272,1358,1354,1476,1367,1225,342
-0.004477508731331115,-57.615304035741325,,945,983,567,467,489,461,419,360,244,54
-0.013352077340913034,-48.15845573185514,,321,269,95,73,58,60,50,72,44,13
-0.0036423323344417324,-59.248210370372725,,1964,2084,1374,1181,1337,1180,980,937,561,158
-0.02141624371289696,-42.20712386775234,,234,162,69,32,17,14,35,7,7,0
0.0011008275445842258,-67.49458996433464,,2393,2846,2692,2265,3088,2771,2611,2836,2007,672
-0.01600962183598125,-36.974923156242276,,157,123,39,15,11,14,4,3,4,0
-0.003404554412087758,-121.04204221685336,,644,687,604,403,639,593,622,636,488,189
-0.00026309085941348233,-56.454494675784474,,1361,1566,1397,1172,1567,1386,1267,1287,870,268
-0.011077300381605872,-55.11393205047379,,1366,1213,642,435,493,327,230,259,132,21
-0.008529143149813387,-54.95794102383857,,2187,2064,1179,789,749,700,550,479,282,69
-0.0015622806738220646,-78.02111396845817,,930,1037,652,612,599,629,632,552,482,90
0.0005573971261929088,-55.48089067997712,,1249,1466,1450,1181,1461,1419,1206,1228,867,276
0.009958344975315003,-334.3810482923378,,1108,1630,2917,3222,5344,7812,11779,14605,15286,8718
-0.0020185719616404754,-85.23260351302162,,944,1041,1196,679,757,734,787,498,401,124
0.00715274109933498,-306.1172052720814,,2068,2844,3907,4387,6751,8189,11675,13641,12557,6194
-0.007844184265874219,-66.56336162011834,,671,643,281,270,298,258,232,226,127,19
-0.00485574278211876,-64.11142135919702,,1565,1613,1183,738,788,697,814,624,455,134
-0.002557742311083197,-141.39483624160525,,1395,1519,651,721,769,918,830,776,491,127
-0.00930210783626747,-45.82949520967474,,819,758,437,313,374,252,182,148,105,19
-0.0045125321431887366,-92.32700026994691,,2061,2142,1855,1310,1635,1366,1081,996,576,175
