Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7,Estimated_Read_Number_t8
-0.004715485974538816,-51.3307202757569,,381,305,314,543,129,138,151,113,133
-0.017270754949754392,-23.90503963902315,,79,34,40,9,1,3,3,1,0
0.006696597985829151,-785.2647311833031,,186,258,97,284,81,6,293,27,54
-0.006359014367696508,-288.83368130451936,,1187,879,679,1509,674,290,1112,746,704
0.0031547378338791523,-51.77469981598879,,1081,1265,1245,1698,735,1187,1154,996,1173
0.0028214010305502454,-49.23042031584823,,1117,1286,1358,1972,923,1553,1536,1260,1473
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
0.004000908075727732,-569.7345738445906,,224,273,123,342,200,13,260,109,166
0.011539665164935627,-84.63326483428978,,642,1123,1265,1795,1151,1950,2380,2854,4008
0.004446281310624347,-90.91763912797549,,865,1077,1334,1816,856,1661,1229,1059,1080
-0.014943400477572652,-66.54560062448247,,223,109,25,34,8,4,6,10,19
-0.0054112284923627805,-184.68209208724616,,324,251,104,79,45,15,102,37,44
0.015760756883144517,-138.35185122532627,,1,2,1,67,2,0,13,0,0
0.005802863009380727,-74.85812129111618,,621,825,958,1337,880,1190,1265,1026,970
0.005647826729336586,-76.56004702269031,,624,823,1126,1362,850,1214,1255,957,985
0.0016223808034580853,-126.52295079579571,,460,500,650,703,213,674,299,369,360
-0.002236290519215798,-57.46813733405317,,1025,926,869,980,340,586,417,388,357
0.004567224604945783,-110.07084356244327,,667,835,1036,1536,964,806,1441,1040,1026
-0.0023804923273421505,-302.7250129618958,,986,884,960,2136,1108,587,1563,1107,1276
0.0007192459162198516,-95.23406503489062,,833,867,828,1351,629,1446,953,830,946
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
-0.004399450650480064,-70.47521158334706,,449,365,348,346,160,428,209,125,89
-0.0010137044701090075,-51.600755883724666,,206,197,154,286,152,130,253,180,224
0.00046772611929417015,-101.96948639567198,,816,839,832,1736,611,1169,807,494,418
-0.003371051358494556,-101.23148859035253,,402,343,523,765,215,187,354,409,367
-0.002719568530880472,-92.92818101200847,,508,448,353,391,206,116,402,296,374
0.004881491654858392,-145.11542549580827,,907,1153,1566,2051,1414,1211,1752,1638,1501
-1.2522635522205228e-05,-156.05306826290052,,460,462,1034,2036,531,787,646,612,567
-0.01215113235922797,-141.91534313551006,,442,248,146,407,183,28,175,45,68
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
-0.0027001074753625863,-56.831678558551936,,639,564,543,565,256,443,276,197,122
0.0008306370074847474,-83.31850072639654,,549,574,548,1058,449,974,644,404,354
-0.006108547460100481,-127.91019091370961,,653,489,765,624,123,332,101,71,48
0.006071838527217816,-180.19272492054301,,1012,1362,2716,3785,2116,2178,2260,2166,1996
-0.006760272503162556,-3.880948186846521,,1,0,0,0,0,0,0,0,0
-0.0010946654115976,-131.22449079944934,,685,653,534,667,434,991,459,391,266
0.0020368716612135674,-1787.591634840059,,199,220,36,619,244,4,437,42,189
-0.0068959524391730715,-353.4842744611315,,556,401,278,724,470,105,781,378,551
-0.0007570005494078979,-56.60337432806354,,706,684,616,594,248,409,369,303,240
-0.00294573861212252,-303.3215697755778,,545,475,596,1165,605,119,826,655,471
0.004745985223181258,-84.66267343504958,,681,860,805,960,623,1009,966,841,724
-0.0018993736459204996,-64.23917187361486,,363,333,284,502,241,118,232,229,212
