Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6
0.019478230462649064,-2019.1262225870794,,403,487,3,651,250,233,163
0.0003933477246922351,-43.004372210552845,,47,22,2,14,2,6,0
-0.029762356345689665,-74.20476285880584,,68,7,263,89,4,0,0
0.009394087839466728,-1456.102716917651,,1040,775,1871,1426,615,504,8
0.0024788608758019187,-70.99466660713301,,1012,541,1236,1161,383,309,629
0.004412077493032287,-52.40921164580798,,1241,728,1355,1491,518,505,652
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
-0.010006011125245871,-35.46436667359208,,203,59,235,213,35,0,0
0.011872138525412038,-130.9624500688286,,643,540,1114,1558,929,978,2021
0.004626512617488553,-71.04437057128531,,892,529,1108,1253,463,415,715
0.004581292113636127,-184.70979925735259,,200,118,2,39,10,22,7
-0.020602060618034674,-23.957742358516853,,235,41,162,62,5,0,0
0.03629943732228191,-123.56363111128803,,1,2,5,112,0,0,0
-0.011592414253893242,-144.15807079761103,,558,151,1159,676,147,0,0
-0.014411735198665749,-171.1044987263734,,638,151,1244,552,123,0,0
0.021082316855637218,-2734.523997834996,,437,571,4,872,391,478,717
-0.003277242182818365,-33.65305020245285,,1060,430,857,702,161,122,161
-0.012823683162884413,-160.0603455226731,,678,174,1234,620,146,0,0
0.00711908032112417,-81.53096775695346,,890,595,1273,2080,883,636,755
0.005668204120212208,-85.49915952818014,,818,510,952,1109,395,481,839
-0.0126666940637471,-4.79287830036875,,1,0,1,0,0,0,0
-0.021858823546878715,-93.67649936134845,,412,68,573,165,23,0,0
-0.013351225452425702,-36.479402440236996,,232,58,272,145,27,0,0
0.004188198019562207,-770.4582246504629,,607,352,1547,1177,283,232,1
0.024374773845632008,-2617.6453823611037,,362,554,4,931,487,485,337
0.003583544202214465,-48.85233441255588,,478,269,371,465,153,161,142
-0.01339877562285633,-308.10654944227167,,819,204,2038,953,245,0,0
0.02791592054403515,-8677.737611085982,,578,1048,4,2817,1359,1163,1191
