Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4,Estimated_Read_Number_t5,Estimated_Read_Number_t6,Estimated_Read_Number_t7
0.014908905036049039,-178.87857924311925,,317,555,380,241,101,124,39,1
0.02194073144752775,-55.03970211473904,,15,31,84,36,6,7,0,1
0.04840059807301755,-190.89083947634634,,37,144,371,71,27,29,26,13
0.0001319284792575398,-74.14547118715727,,644,792,583,352,168,77,19,53
0.012969343832102558,-193.67864938181683,,908,1519,1103,888,769,690,189,72
-0.0018554650500981745,-68.64603434305644,,1214,1423,676,572,466,349,112,120
-0.01571430946455704,-4.307836647596088,,1,0,0,0,0,0,0,0
0.013554622228401196,-102.4485828951327,,159,269,88,54,9,6,2,1
0.015765468074508262,-216.27770320043444,,729,1304,893,920,822,793,257,201
0.0026838092863425422,-85.20860500115771,,1080,1412,756,629,564,532,162,137
-0.005987638388357181,-20.223155250341975,,30,31,26,9,2,1,0,0
-0.02599925628944664,-18.64300031268358,,69,45,27,6,1,0,0,0
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
-0.004255195162278794,-67.49378119119646,,692,765,410,597,438,318,74,226
-0.006679175340724787,-54.66461280664224,,704,735,396,437,372,288,76,180
0.021437263337579178,-486.1402156410429,,571,1170,784,543,524,679,181,1
-0.005541134149386966,-44.266719662938925,,766,822,494,427,257,293,59,100
0.003081004260263004,-92.19199577853311,,745,983,454,596,440,242,61,136
0.04527742855552185,-2551.765109131335,,924,3357,2181,2081,497,830,255,10
-0.007756360169402611,-49.156521501161755,,833,847,379,343,201,244,58,53
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
-0.01701043048304938,-49.20713316137582,,395,321,96,132,96,51,11,27
0.0184622850124364,-78.66024250046797,,115,219,145,110,60,58,13,1
-0.015197706200658415,-114.81357410136746,,634,539,373,348,360,297,74,219
0.03893107563028377,-574.616450524366,,234,730,976,608,192,329,93,6
-0.004922849818219726,-77.22941975279701,,441,480,247,152,52,41,8,0
0.005038005449943494,-147.45862969184617,,1079,1492,725,968,741,407,86,163
0.037846226689429004,-1513.2175956177398,,705,2143,1726,1378,1025,1278,484,6
-0.007609924486579369,-35.32268303461788,,256,261,117,106,37,18,1,7
-0.02115801358186315,-3.4108783072439346,,1,0,0,0,0,0,0,0
-0.020250422646630607,-38.45588739211297,,594,447,150,122,78,59,12,21
-0.017548192434877024,-44.68062165555604,,421,338,142,143,90,81,17,48
