Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3,Estimated_Read_Number_t4
-0.0330238890824354,-47.84456499431947,,262,145,16,59,4
-0.027452917832963712,-59.21948980863908,,380,241,30,79,5
-0.0039002755287030084,-29.041611131022915,,966,1082,108,353,160
-0.9999999,-183.62417516859054,,373,0,0,0,0
-0.014618400346953714,-41.91834363330555,,376,325,43,137,32
-0.015942487322358277,-2.1055748457352386,,1,0,0,0,0
-0.026375551763743326,-19.748624629777098,,180,117,9,29,4
-0.02587984614852873,-13.794847722596584,,166,109,7,13,3
0.007320179514067574,-43.99266043897796,,1114,1633,180,655,483
-0.02198088454610124,-48.78260903369172,,388,281,34,111,17
0.08376534279128056,-8308.187458376344,,910,8357,624,19,4830
0.01595906978767102,-20.263816512777485,,7,12,0,0,3
0.0015274607482580428,-51.731161224391094,,904,1153,82,246,219
-0.010492582813413136,-29.093564935735117,,447,427,42,197,80
-0.008439402509457858,-28.77864811055101,,421,422,29,164,77
0.0018193288864208632,-4.49105008993685,,2,2,0,0,0
-0.021871248131383355,-122.18921710570505,,452,328,7,0,4
0.04290875512878353,-351.0708497696981,,238,819,61,2,98
0.003165461162170446,-50.377656476957576,,847,1124,88,331,284
-0.02174949035139755,-22.185910995986546,,173,126,12,42,7
-0.017816022223341936,-64.82447827982132,,220,176,34,148,33
0.03670304385651002,-61.94490494587332,,93,276,30,20,54
-0.007245613864923623,-28.20104192064317,,555,573,66,156,50
-0.005748140485970342,-20.684901478254233,,253,271,20,98,53
0.008116333835287731,-42.50859481969752,,630,941,90,306,280
0.0013882976725566295,-49.892697297500945,,791,1006,128,639,388
-0.026748813957101047,-79.65312561756775,,187,121,26,68,3
