46,68,0,41,4
223,269,27,70,13
537,741,51,297,79
1045,761,74,546,232
338,260,0,183,85
267,404,50,120,29
261,278,26,115,27
500,487,53,134,39
1135,1218,128,600,194
483,591,65,208,37
1001,1037,98,1284,702
643,679,43,277,126
441,622,75,260,73
231,260,0,179,37
281,256,24,90,25
372,251,62,85,85
496,630,139,344,77
481,442,79,204,82
563,485,7,582,311
31,8,4,1,0
718,792,63,429,175
248,267,52,802,376
924,1085,104,734,339
441,370,44,350,301
426,441,0,423,107
659,654,64,294,92
798,704,62,174,56
280,257,0,108,31
663,521,13,608,257
99,355,107,4,1
165,89,4,9,3
486,661,148,692,321
625,518,0,395,230
490,547,55,142,52
